    DATE,remainder
1931-06-20,-90.50618916269987
1931-06-21,-120.5063612487772
1931-06-22,-77.50653333485452
1931-06-23,-97.50670542093185
1931-06-24,-89.50687750700918
1931-06-25,-117.5070495930865
1931-06-26,-102.50722167916383
1931-06-27,-72.50739376524116
1931-06-28,-60.50756585131849
1931-06-29,-61.50773793739582
1931-06-30,-118.50791002347314
1931-07-01,-91.40481062517547
1931-07-02,-70.4049827112528
1931-07-03,-65.40515479733013
1931-07-04,-33.405326883407454
1931-07-05,-50.40549896948478
1931-07-06,-38.40567105556211
1931-07-07,-60.40584314163944
1931-07-08,-138.40601522771675
1931-07-09,-117.40618731379409
1931-07-10,-106.40635939987142
1931-07-11,-90.40653148594875
1931-07-12,-89.40670357202607
